Task,Mean Norm,Std Norm,Min,Max
det,12.6019,21.7242,1.3130,152.0831
map,3.1804,2.2994,0.3769,11.6035
motion,1.9639,2.3643,0.0774,12.1096
plan,0.9040,1.0049,0.0000,6.9991
